id,choice1,choice2,state,money
11228_20190226,2,1,3,1
11228_20190226,2,2,2,0
11228_20190226,2,1,3,0
11228_20190226,2,1,3,1
11228_20190226,2,1,3,1
11228_20190226,2,1,3,0
11228_20190226,2,1,3,0
11228_20190226,2,2,2,0
11228_20190226,2,2,2,0
11228_20190226,2,1,3,1
11228_20190226,2,1,2,0
11228_20190226,2,1,2,0
11228_20190226,1,2,3,1
11228_20190226,1,2,2,1
11228_20190226,1,2,2,1
11228_20190226,1,2,2,0
11228_20190226,1,2,2,0
11228_20190226,1,1,2,0
11228_20190226,2,1,3,1
11228_20190226,2,1,3,0
11228_20190226,2,1,3,1
11248_20190306,2,2,3,0
11248_20190306,2,1,3,0
11248_20190306,1,1,2,1
11248_20190306,1,2,3,1
11248_20190306,1,1,3,0
11248_20190306,1,2,2,0
11248_20190306,1,2,3,1
11248_20190306,1,1,2,0
11248_20190306,1,2,3,0
11248_20190306,1,2,2,1
11248_20190306,1,1,3,1
11248_20190306,1,2,3,0
11248_20190306,1,2,2,1
11248_20190306,1,2,2,1
11248_20190306,2,2,3,1
11248_20190306,2,2,3,1
11248_20190306,2,2,3,0
11248_20190306,2,2,3,1
11248_20190306,2,2,3,0
11248_20190306,2,2,2,1
11248_20190306,2,2,3,0
11248_20190306,1,2,3,1
11248_20190306,1,2,3,1
11248_20190306,1,2,2,1
11248_20190306,1,2,2,0
11248_20190306,2,2,3,1
11248_20190306,2,2,2,1
11248_20190306,2,2,3,0
11248_20190306,1,2,2,1
11248_20190306,1,2,2,0
11248_20190306,1,1,2,1
11248_20190306,1,2,3,0
11248_20190306,2,1,2,1
11248_20190306,2,2,3,0
11248_20190306,2,1,2,1
11248_20190306,2,1,3,1
11248_20190306,2,1,3,1
11248_20190306,2,1,3,1
11248_20190306,2,1,3,0
11248_20190306,1,2,3,0
11248_20190306,1,2,2,0
11248_20190306,2,1,3,0
11248_20190306,1,1,2,1
11248_20190306,1,2,3,0
11248_20190306,2,1,3,0
11248_20190306,2,1,2,1
11248_20190306,1,1,2,0
11248_20190306,1,1,2,0
11248_20190306,1,1,2,0
11248_20190306,2,1,3,0
11248_20190306,2,2,2,0
11248_20190306,2,1,2,1
11248_20190306,2,1,2,1
11248_20190306,2,1,3,1
11248_20190306,2,1,3,1
11248_20190306,2,1,2,1
11248_20190306,2,1,3,0
11248_20190306,2,1,3,0
11248_20190306,1,1,2,1
11248_20190306,1,1,3,1
11248_20190306,1,1,2,1
11248_20190306,2,1,3,1
11248_20190306,1,1,2,1
11248_20190306,2,1,3,1
11248_20190306,1,1,2,0
11248_20190306,2,1,3,0
11248_20190306,2,1,3,1
11248_20190306,1,1,2,1
11248_20190306,2,1,3,0
11248_20190306,1,1,2,0
11248_20190306,2,1,3,0
11248_20190306,1,1,2,0
11248_20190306,2,2,3,1
11248_20190306,1,2,2,1
11248_20190306,2,2,2,1
11248_20190306,1,2,3,0
11248_20190306,2,2,3,0
11248_20190306,1,2,2,1
11248_20190306,1,2,2,1
11248_20190306,1,2,2,0
11248_20190306,1,1,2,1
11248_20190306,1,1,3,0
11248_20190306,1,1,2,0
11248_20190306,2,2,2,1
11248_20190306,2,2,3,1
11248_20190306,1,2,2,1
11248_20190306,2,2,3,1
11248_20190306,1,2,2,0
11248_20190306,2,1,3,0
11248_20190306,2,2,3,0
11248_20190306,1,1,3,1
11248_20190306,1,2,2,1
11248_20190306,1,2,3,1
11248_20190306,1,1,2,0
11248_20190306,1,2,3,0
11248_20190306,1,2,2,0
11248_20190306,1,1,2,0
11248_20190306,2,2,2,1
11248_20190306,2,1,3,0
11248_20190306,2,1,3,0
11248_20190306,2,2,3,1
11248_20190306,1,2,3,1
11248_20190306,2,2,3,0
11248_20190306,1,2,3,0
11248_20190306,1,1,2,0
11248_20190306,1,2,3,0
11248_20190306,1,2,2,1
11248_20190306,1,2,2,1
11248_20190306,1,2,2,1
11248_20190306,1,2,2,1
11248_20190306,1,2,2,1
11248_20190306,1,2,3,0
11248_20190306,1,1,2,1
11248_20190306,2,1,3,1
11248_20190306,1,2,3,0
11248_20190306,1,2,2,0
11248_20190306,2,2,3,0
11248_20190306,1,1,2,0
11248_20190306,2,2,2,0
11248_20190306,2,2,2,1
11248_20190306,1,1,2,0
11248_20190306,2,2,2,0
11248_20190306,1,2,2,0
11248_20190306,2,1,3,1
11248_20190306,2,2,2,1
11248_20190306,1,1,2,0
11248_20190306,2,2,2,1
